MonthlyCharges,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineBackup,Contract,PaperlessBilling,Churn
29.85,Female,0,Yes,No,1,DSL,Yes,Month-to-month,Yes,No
56.95,Male,0,No,No,34,DSL,No,One year,No,No
53.85,Male,0,No,No,2,DSL,Yes,Month-to-month,Yes,Yes
42.3,Male,0,No,No,45,DSL,No,One year,No,No
70.7,Female,0,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
99.65,Female,0,No,No,8,Fiber optic,No,Month-to-month,Yes,Yes
89.1,Male,0,No,Yes,22,Fiber optic,Yes,Month-to-month,Yes,No
29.75,Female,0,No,No,10,DSL,No,Month-to-month,No,No
104.8,Female,0,Yes,No,28,Fiber optic,No,Month-to-month,Yes,Yes
56.15,Male,0,No,Yes,62,DSL,Yes,One year,No,No
49.95,Male,0,Yes,Yes,13,DSL,No,Month-to-month,Yes,No
18.95,Male,0,No,No,16,No,No internet service,Two year,No,No
100.35,Male,0,Yes,No,58,Fiber optic,No,One year,No,No
103.7,Male,0,No,No,49,Fiber optic,Yes,Month-to-month,Yes,Yes
105.5,Male,0,No,No,25,Fiber optic,No,Month-to-month,Yes,No
113.25,Female,0,Yes,Yes,69,Fiber optic,Yes,Two year,No,No
20.65,Female,0,No,No,52,No,No internet service,One year,No,No
106.7,Male,0,No,Yes,71,Fiber optic,No,Two year,No,No
55.2,Female,0,Yes,Yes,10,DSL,No,Month-to-month,No,Yes
90.05,Female,0,No,No,21,Fiber optic,Yes,Month-to-month,Yes,No
39.65,Male,1,No,No,1,DSL,No,Month-to-month,Yes,Yes
19.8,Male,0,Yes,No,12,No,No internet service,One year,No,No
20.15,Male,0,No,No,1,No,No internet service,Month-to-month,No,Yes
59.9,Female,0,Yes,No,58,DSL,Yes,Two year,Yes,No
59.6,Male,0,Yes,Yes,49,DSL,Yes,Month-to-month,No,No
55.3,Female,0,No,No,30,DSL,Yes,Month-to-month,Yes,No
99.35,Male,0,Yes,Yes,47,Fiber optic,Yes,Month-to-month,Yes,Yes
30.2,Male,0,Yes,Yes,1,DSL,Yes,Month-to-month,No,Yes
90.25,Male,0,Yes,No,72,DSL,Yes,Two year,Yes,No
64.7,Female,0,No,Yes,17,DSL,No,Month-to-month,Yes,Yes
96.35,Female,1,Yes,No,71,Fiber optic,Yes,Two year,Yes,No
95.5,Male,1,Yes,No,2,Fiber optic,No,Month-to-month,Yes,No
66.15,Female,0,Yes,Yes,27,DSL,Yes,One year,No,No
20.2,Male,0,No,No,1,No,No internet service,Month-to-month,No,No
45.25,Male,1,No,No,1,DSL,No,Month-to-month,No,No
99.9,Female,0,Yes,Yes,72,Fiber optic,Yes,Two year,No,No
69.7,Male,0,No,No,5,Fiber optic,No,Month-to-month,Yes,Yes
74.8,Female,0,No,No,46,Fiber optic,No,Month-to-month,Yes,No
106.35,Male,0,No,No,34,Fiber optic,Yes,Month-to-month,Yes,Yes
97.85,Female,0,No,No,11,Fiber optic,No,Month-to-month,Yes,Yes
49.55,Male,0,Yes,Yes,10,DSL,Yes,One year,No,No
69.2,Female,0,Yes,Yes,70,DSL,Yes,Two year,Yes,No
20.75,Female,0,Yes,Yes,17,No,No internet service,One year,No,No
79.85,Female,0,No,No,63,DSL,Yes,Two year,Yes,No
76.2,Female,0,Yes,No,13,DSL,Yes,Month-to-month,Yes,No
84.5,Female,0,No,No,49,Fiber optic,No,Month-to-month,Yes,No
49.25,Male,0,No,No,2,DSL,Yes,Month-to-month,No,No
80.65,Female,0,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
79.75,Male,0,No,No,52,DSL,No,Two year,Yes,No
64.15,Female,0,Yes,Yes,69,DSL,No,Two year,Yes,No
90.25,Female,1,No,No,43,Fiber optic,Yes,Month-to-month,Yes,No
99.1,Female,0,No,No,15,Fiber optic,Yes,Month-to-month,Yes,Yes
69.5,Female,1,Yes,No,25,DSL,No,Month-to-month,Yes,No
80.65,Female,1,Yes,No,8,Fiber optic,Yes,Month-to-month,Yes,Yes
74.85,Female,1,Yes,Yes,60,DSL,Yes,One year,Yes,No
95.45,Male,1,No,No,18,Fiber optic,No,Month-to-month,Yes,Yes
99.65,Female,0,Yes,Yes,63,Fiber optic,No,One year,Yes,No
108.45,Male,1,Yes,Yes,66,Fiber optic,Yes,One year,Yes,No
24.95,Female,0,Yes,Yes,34,No,No internet service,Two year,No,No
107.5,Female,0,No,No,72,Fiber optic,No,Two year,Yes,No
100.5,Female,0,Yes,No,47,Fiber optic,No,Month-to-month,Yes,No
89.9,Male,0,No,No,60,Fiber optic,Yes,Month-to-month,Yes,No
42.1,Male,0,Yes,No,72,DSL,Yes,Two year,No,No
54.4,Female,0,Yes,Yes,18,DSL,No,One year,Yes,No
94.4,Female,0,No,No,9,Fiber optic,No,Month-to-month,No,Yes
75.3,Female,0,No,No,3,DSL,Yes,Month-to-month,Yes,No
78.9,Male,0,Yes,No,47,Fiber optic,Yes,One year,Yes,No
79.2,Female,0,No,No,31,DSL,Yes,Two year,No,No
20.15,Female,0,Yes,Yes,50,No,No internet service,Two year,No,No
79.85,Male,0,No,No,10,Fiber optic,No,Month-to-month,Yes,No
49.05,Male,0,No,No,1,DSL,No,Month-to-month,No,No
20.4,Female,0,Yes,Yes,52,No,No internet service,One year,Yes,No
111.6,Male,1,Yes,Yes,64,Fiber optic,No,Two year,Yes,No
24.25,Male,0,Yes,Yes,62,No,No internet service,Two year,Yes,No
64.5,Female,0,No,Yes,3,DSL,No,Month-to-month,Yes,No
110.5,Female,1,No,No,56,Fiber optic,Yes,One year,No,No
55.65,Female,0,No,No,46,DSL,No,One year,No,No
54.65,Female,0,Yes,Yes,8,DSL,Yes,Month-to-month,No,No
74.75,Male,1,No,No,30,DSL,Yes,Month-to-month,Yes,No
25.9,Female,0,Yes,Yes,45,No,No internet service,One year,Yes,No
79.35,Female,0,No,Yes,1,Fiber optic,No,Month-to-month,Yes,Yes
50.55,Female,0,Yes,Yes,11,DSL,No,Month-to-month,No,No
75.15,Female,0,Yes,No,7,Fiber optic,No,Month-to-month,Yes,Yes
103.8,Female,0,No,No,42,Fiber optic,Yes,Month-to-month,Yes,No
20.15,Female,0,Yes,No,49,No,No internet service,Two year,Yes,No
99.3,Male,0,No,No,9,Fiber optic,Yes,Month-to-month,Yes,No
62.15,Female,0,Yes,No,35,DSL,No,One year,Yes,No
20.65,Female,0,Yes,Yes,48,No,No internet service,Two year,No,No
19.95,Female,0,Yes,Yes,46,No,No internet service,Two year,Yes,No
33.75,Male,0,Yes,No,29,DSL,No,Month-to-month,No,No
82.05,Male,0,Yes,Yes,30,Fiber optic,Yes,Month-to-month,No,No
74.7,Male,1,No,No,1,Fiber optic,No,Month-to-month,No,No
84,Male,0,Yes,Yes,66,DSL,No,Two year,Yes,No
111.05,Female,0,No,No,65,Fiber optic,Yes,Month-to-month,Yes,No
100.9,Male,0,No,No,72,Fiber optic,Yes,Two year,Yes,No
78.95,Female,0,No,No,12,Fiber optic,No,Month-to-month,Yes,Yes
66.85,Male,0,Yes,Yes,71,DSL,Yes,One year,Yes,No
21.05,Male,0,No,No,5,No,No internet service,Month-to-month,No,Yes
21,Male,0,No,No,52,No,No internet service,Two year,No,No
98.5,Female,1,Yes,No,25,Fiber optic,Yes,Month-to-month,Yes,Yes
20.2,Male,0,No,No,1,No,No internet service,Month-to-month,No,No
19.45,Female,0,Yes,Yes,1,No,No internet service,Month-to-month,No,No
95,Male,0,No,No,38,Fiber optic,No,One year,No,No
45.55,Female,1,Yes,No,66,DSL,Yes,One year,No,No
110,Male,0,Yes,No,68,Fiber optic,Yes,Two year,Yes,Yes
24.3,Male,0,No,No,5,DSL,No,Month-to-month,No,No
104.15,Female,0,Yes,Yes,72,Fiber optic,Yes,One year,Yes,No
30.15,Female,0,No,No,32,DSL,No,One year,No,No
94.35,Male,0,No,No,43,Fiber optic,No,One year,No,No
19.4,Male,0,Yes,Yes,72,No,No internet service,Two year,No,No
96.75,Male,0,Yes,No,55,Fiber optic,Yes,Month-to-month,Yes,Yes
57.95,Female,0,No,No,52,DSL,No,One year,No,No
91.65,Female,0,No,No,43,Fiber optic,Yes,Month-to-month,Yes,No
76.5,Female,1,Yes,No,37,Fiber optic,No,Month-to-month,Yes,Yes
54.6,Female,0,Yes,Yes,64,DSL,Yes,Two year,Yes,No
89.85,Male,0,Yes,Yes,3,Fiber optic,Yes,Month-to-month,No,No
31.05,Female,0,No,No,36,DSL,No,Two year,No,No
100.25,Female,0,Yes,Yes,10,Fiber optic,No,Month-to-month,Yes,Yes
20.65,Female,0,No,No,41,No,No internet service,Two year,No,No
85.2,Male,0,Yes,Yes,27,Fiber optic,Yes,Month-to-month,Yes,No
99.8,Female,0,Yes,Yes,56,Fiber optic,No,One year,Yes,No
20.7,Female,0,No,No,6,No,No internet service,Month-to-month,No,No
74.4,Male,0,No,No,3,Fiber optic,No,Month-to-month,Yes,Yes
50.7,Female,0,Yes,Yes,7,DSL,No,Month-to-month,No,No
20.85,Female,0,Yes,Yes,4,No,No internet service,Month-to-month,No,No
88.95,Male,0,No,No,33,Fiber optic,No,Two year,Yes,No
78.05,Female,1,No,No,27,Fiber optic,No,Month-to-month,Yes,Yes
23.55,Male,0,Yes,No,72,No,No internet service,Two year,Yes,No
19.75,Male,0,No,No,1,No,No internet service,Month-to-month,No,No
56.45,Male,1,No,No,71,DSL,Yes,One year,Yes,No
85.95,Female,0,No,No,13,Fiber optic,No,Month-to-month,Yes,No
58.6,Female,0,Yes,Yes,25,DSL,Yes,Month-to-month,Yes,Yes
50.55,Male,0,No,No,67,DSL,No,Two year,No,No
35.45,Male,0,No,No,1,DSL,No,Month-to-month,Yes,Yes
44.35,Male,0,No,No,2,DSL,No,Month-to-month,No,Yes
25.7,Female,0,No,No,43,No,No internet service,Two year,Yes,No
75,Female,0,No,No,23,Fiber optic,No,Month-to-month,Yes,No
20.2,Female,0,Yes,Yes,64,No,No internet service,Two year,No,No
19.6,Male,0,No,Yes,57,No,No internet service,Two year,Yes,No
70.45,Female,1,Yes,No,1,Fiber optic,No,Month-to-month,Yes,Yes
88.05,Female,1,Yes,Yes,72,DSL,Yes,Two year,Yes,No
71.15,Female,0,No,No,8,DSL,No,Month-to-month,No,Yes
101.05,Female,0,Yes,No,61,Fiber optic,Yes,Two year,Yes,No
84.3,Male,0,No,No,64,Fiber optic,Yes,One year,Yes,No
23.95,Male,1,Yes,No,71,No,No internet service,Two year,No,No
99.05,Female,0,Yes,Yes,65,Fiber optic,Yes,Two year,Yes,No
19.6,Male,0,No,No,3,No,No internet service,One year,No,No
45.65,Male,0,No,No,1,DSL,No,Month-to-month,Yes,Yes
64.5,Male,0,No,Yes,30,DSL,Yes,One year,No,No
69.5,Male,0,Yes,Yes,15,DSL,Yes,Month-to-month,Yes,No
